"sample_name","phenotype_label","neighbor_phenotype_label","interactions","count","fraction","region_label"
"MEL2","CD8+ PD1+","CD8+ PD1+",221,20,0.0904977375565611,"Tumor"
"MEL2","CD8+ PD1+","CD8+ PD1-",221,7,0.0316742081447964,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1+",221,68,0.307692307692308,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1-",221,14,0.0633484162895928,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",221,52,0.235294117647059,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",221,60,0.271493212669683,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1+",370,7,0.0189189189189189,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1-",370,12,0.0324324324324324,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1+",370,14,0.0378378378378378,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1-",370,28,0.0756756756756757,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",370,31,0.0837837837837838,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",370,278,0.751351351351351,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1+",1115,68,0.0609865470852018,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1-",1115,14,0.0125560538116592,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1+",1115,438,0.392825112107623,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1-",1115,99,0.0887892376681614,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",1115,243,0.217937219730942,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",1115,253,0.226905829596413,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1+",1743,14,0.00803212851405622,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1-",1743,28,0.0160642570281124,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1+",1743,99,0.0567986230636833,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1-",1743,500,0.286861732644865,"Tumor"
"MEL2","OTHER PDL1-","SOX10+ PDL1+",1743,67,0.0384394721744119,"Tumor"
"MEL2","OTHER PDL1-","SOX10+ PDL1-",1743,1035,0.593803786574871,"Tumor"
"MEL2","SOX10+ PDL1+","CD8+ PD1+",919,52,0.0565832426550598,"Tumor"
"MEL2","SOX10+ PDL1+","CD8+ PD1-",919,31,0.0337323177366703,"Tumor"
"MEL2","SOX10+ PDL1+","OTHER PDL1+",919,243,0.264417845484222,"Tumor"
"MEL2","SOX10+ PDL1+","OTHER PDL1-",919,67,0.072905331882481,"Tumor"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1+",919,218,0.23721436343852,"Tumor"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1-",919,308,0.335146898803047,"Tumor"
"MEL2","SOX10+ PDL1-","CD8+ PD1+",11104,60,0.00540345821325648,"Tumor"
"MEL2","SOX10+ PDL1-","CD8+ PD1-",11104,278,0.025036023054755,"Tumor"
"MEL2","SOX10+ PDL1-","OTHER PDL1+",11104,253,0.0227845821325648,"Tumor"
"MEL2","SOX10+ PDL1-","OTHER PDL1-",11104,1035,0.0932096541786744,"Tumor"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1+",11104,308,0.0277377521613833,"Tumor"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1-",11104,9170,0.825828530259366,"Tumor"
"MEL3","CD8+ PD1+","CD8+ PD1+",149,6,0.0402684563758389,"Tumor"
"MEL3","CD8+ PD1+","CD8+ PD1-",149,1,0.00671140939597315,"Tumor"
"MEL3","CD8+ PD1+","OTHER PDL1+",149,1,0.00671140939597315,"Tumor"
"MEL3","CD8+ PD1+","OTHER PDL1-",149,2,0.0134228187919463,"Tumor"
"MEL3","CD8+ PD1+","SOX10+ PDL1+",149,107,0.718120805369127,"Tumor"
"MEL3","CD8+ PD1+","SOX10+ PDL1-",149,32,0.214765100671141,"Tumor"
