"sample_name","frame_name","phenotype_label","density_mm2","region_label"
"MEL2","2","CD8+ PD1-",393.824878050088,"Any"
"MEL2","7","CD8+ PD1-",67.5995707877919,"Any"
"MEL2","2","CD8+ PD1+",154.71691637682,"Any"
"MEL2","7","CD8+ PD1+",81.6828147019152,"Any"
"MEL2","2","OTHER PDL1-",2506.41404530449,"Any"
"MEL2","7","OTHER PDL1-",1413.95768897798,"Any"
"MEL2","2","OTHER PDL1+",309.43383275364,"Any"
"MEL2","7","OTHER PDL1+",566.146405347757,"Any"
"MEL2","2","SOX10+ PDL1-",2956.49962021887,"Any"
"MEL2","7","SOX10+ PDL1-",3923.59175447475,"Any"
"MEL2","2","SOX10+ PDL1+",267.238310105417,"Any"
"MEL2","7","SOX10+ PDL1+",340.814502721784,"Any"
"MEL3","1","CD8+ PD1-",143.560949335155,"Any"
"MEL3","2","CD8+ PD1-",156.114403684008,"Any"
"MEL3","1","CD8+ PD1+",92.8923789815706,"Any"
"MEL3","2","CD8+ PD1+",96.5070859137502,"Any"
"MEL3","1","OTHER PDL1-",1435.60949335155,"Any"
"MEL3","2","OTHER PDL1-",1251.75367317541,"Any"
"MEL3","1","OTHER PDL1+",137.931108184756,"Any"
"MEL3","2","OTHER PDL1+",173.145065904081,"Any"
"MEL3","1","SOX10+ PDL1-",4836.03354819207,"Any"
"MEL3","2","SOX10+ PDL1-",2835.60525964225,"Any"
"MEL3","1","SOX10+ PDL1+",1475.01838140433,"Any"
"MEL3","2","SOX10+ PDL1+",2932.112345556,"Any"
