"sample_name","phenotype_label","neighbor_phenotype_label","interactions","count","fraction","region_label"
"MEL2","CD8+ PD1+","CD8+ PD1+",419,54,0.128878281622912,"Any"
"MEL2","CD8+ PD1+","CD8+ PD1-",419,34,0.081145584725537,"Any"
"MEL2","CD8+ PD1+","OTHER PDL1+",419,100,0.238663484486873,"Any"
"MEL2","CD8+ PD1+","OTHER PDL1-",419,62,0.147971360381862,"Any"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",419,78,0.186157517899761,"Any"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",419,91,0.217183770883055,"Any"
"MEL2","CD8+ PD1-","CD8+ PD1+",765,34,0.0444444444444444,"Any"
"MEL2","CD8+ PD1-","CD8+ PD1-",765,90,0.117647058823529,"Any"
"MEL2","CD8+ PD1-","OTHER PDL1+",765,40,0.0522875816993464,"Any"
"MEL2","CD8+ PD1-","OTHER PDL1-",765,225,0.294117647058824,"Any"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",765,42,0.0549019607843137,"Any"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",765,334,0.436601307189542,"Any"
"MEL2","OTHER PDL1+","CD8+ PD1+",1538,100,0.0650195058517555,"Any"
"MEL2","OTHER PDL1+","CD8+ PD1-",1538,40,0.0260078023407022,"Any"
"MEL2","OTHER PDL1+","OTHER PDL1+",1538,580,0.377113133940182,"Any"
"MEL2","OTHER PDL1+","OTHER PDL1-",1538,222,0.144343302990897,"Any"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",1538,288,0.187256176853056,"Any"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",1538,308,0.200260078023407,"Any"
"MEL2","OTHER PDL1-","CD8+ PD1+",6259,62,0.00990573574053363,"Any"
"MEL2","OTHER PDL1-","CD8+ PD1-",6259,225,0.0359482345422591,"Any"
"MEL2","OTHER PDL1-","OTHER PDL1+",6259,222,0.0354689247483624,"Any"
"MEL2","OTHER PDL1-","OTHER PDL1-",6259,4278,0.683495766096821,"Any"
"MEL2","OTHER PDL1-","SOX10+ PDL1+",6259,94,0.0150183735420994,"Any"
"MEL2","OTHER PDL1-","SOX10+ PDL1-",6259,1378,0.220162965329925,"Any"
"MEL2","SOX10+ PDL1+","CD8+ PD1+",1119,78,0.0697050938337802,"Any"
"MEL2","SOX10+ PDL1+","CD8+ PD1-",1119,42,0.0375335120643432,"Any"
"MEL2","SOX10+ PDL1+","OTHER PDL1+",1119,288,0.257372654155496,"Any"
"MEL2","SOX10+ PDL1+","OTHER PDL1-",1119,94,0.0840035746201966,"Any"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1+",1119,262,0.234137622877569,"Any"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1-",1119,355,0.317247542448615,"Any"
"MEL2","SOX10+ PDL1-","CD8+ PD1+",12100,91,0.00752066115702479,"Any"
"MEL2","SOX10+ PDL1-","CD8+ PD1-",12100,334,0.027603305785124,"Any"
"MEL2","SOX10+ PDL1-","OTHER PDL1+",12100,308,0.0254545454545455,"Any"
"MEL2","SOX10+ PDL1-","OTHER PDL1-",12100,1378,0.113884297520661,"Any"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1+",12100,355,0.0293388429752066,"Any"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1-",12100,9634,0.796198347107438,"Any"
"MEL3","CD8+ PD1+","CD8+ PD1+",378,32,0.0846560846560847,"Any"
"MEL3","CD8+ PD1+","CD8+ PD1-",378,17,0.044973544973545,"Any"
"MEL3","CD8+ PD1+","OTHER PDL1+",378,56,0.148148148148148,"Any"
"MEL3","CD8+ PD1+","OTHER PDL1-",378,54,0.142857142857143,"Any"
"MEL3","CD8+ PD1+","SOX10+ PDL1+",378,178,0.470899470899471,"Any"
"MEL3","CD8+ PD1+","SOX10+ PDL1-",378,41,0.108465608465608,"Any"
"MEL3","CD8+ PD1-","CD8+ PD1+",559,17,0.0304114490161002,"Any"
"MEL3","CD8+ PD1-","CD8+ PD1-",559,112,0.200357781753131,"Any"
"MEL3","CD8+ PD1-","OTHER PDL1+",559,32,0.0572450805008945,"Any"
"MEL3","CD8+ PD1-","OTHER PDL1-",559,321,0.574239713774597,"Any"
"MEL3","CD8+ PD1-","SOX10+ PDL1+",559,24,0.0429338103756708,"Any"
"MEL3","CD8+ PD1-","SOX10+ PDL1-",559,53,0.0948121645796064,"Any"
"MEL3","OTHER PDL1+","CD8+ PD1+",622,56,0.090032154340836,"Any"
"MEL3","OTHER PDL1+","CD8+ PD1-",622,32,0.0514469453376206,"Any"
"MEL3","OTHER PDL1+","OTHER PDL1+",622,144,0.231511254019293,"Any"
"MEL3","OTHER PDL1+","OTHER PDL1-",622,190,0.305466237942122,"Any"
"MEL3","OTHER PDL1+","SOX10+ PDL1+",622,170,0.273311897106109,"Any"
"MEL3","OTHER PDL1+","SOX10+ PDL1-",622,30,0.0482315112540193,"Any"
"MEL3","OTHER PDL1-","CD8+ PD1+",4480,54,0.0120535714285714,"Any"
"MEL3","OTHER PDL1-","CD8+ PD1-",4480,321,0.0716517857142857,"Any"
"MEL3","OTHER PDL1-","OTHER PDL1+",4480,190,0.0424107142857143,"Any"
"MEL3","OTHER PDL1-","OTHER PDL1-",4480,3006,0.670982142857143,"Any"
"MEL3","OTHER PDL1-","SOX10+ PDL1+",4480,238,0.053125,"Any"
"MEL3","OTHER PDL1-","SOX10+ PDL1-",4480,671,0.149776785714286,"Any"
"MEL3","SOX10+ PDL1+","CD8+ PD1+",8684,178,0.020497466605251,"Any"
"MEL3","SOX10+ PDL1+","CD8+ PD1-",8684,24,0.00276370336250576,"Any"
"MEL3","SOX10+ PDL1+","OTHER PDL1+",8684,170,0.0195762321510825,"Any"
"MEL3","SOX10+ PDL1+","OTHER PDL1-",8684,238,0.0274067250115154,"Any"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1+",8684,5648,0.650391524643022,"Any"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1-",8684,2426,0.279364348226624,"Any"
"MEL3","SOX10+ PDL1-","CD8+ PD1+",14413,41,0.00284465413168667,"Any"
"MEL3","SOX10+ PDL1-","CD8+ PD1-",14413,53,0.0036772358287657,"Any"
"MEL3","SOX10+ PDL1-","OTHER PDL1+",14413,30,0.00208145424269756,"Any"
"MEL3","SOX10+ PDL1-","OTHER PDL1-",14413,671,0.0465551932283355,"Any"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1+",14413,2426,0.168320266426143,"Any"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1-",14413,11192,0.776521196142371,"Any"
